TC ID,Module,Scenario,Test Type,Test Data,Expected Result,Actual Result,Evidence Tag,Status,Linked Bug ID
TC-001,Dashboard,Cold start reaches the Dashboard with seeded data,Smoke,dev auto-login,Dashboard renders with balance hero and recent activity,Dashboard rendered with 4 recent rows,[Verified],Pass,
TC-002,Dashboard,dp audit of every node,UI,n/a,No node below 44dp; no overlap; nothing out of bounds,CLEAN,[Verified],Pass,
TC-003,Dashboard,Hero renders the theme gradient,UI,Aurora light,Indigo->violet->cyan gradient,Flat #818CF8 solid fill,[Verified],Fail,SP-105
TC-004,Activity,List renders one line per transaction,Regression,5 rows,Row 56-68dp with amount beside the title,67.2-68.3dp measured across 5 rows,[Verified],Pass,
TC-005,Activity,Filter pill touch targets and checked state,Accessibility,All/Income/Expense/This Month/This Week,44dp targets; selected pill announces as checked,RadioButton + checkable + checked correct; All chip 42.7dp wide,[Verified],Fail,SP-110
TC-006,Activity,Search field touch target,Accessibility,n/a,>=44dp,265.6x42.7dp,[Verified],Fail,SP-108
TC-007,Activity,Pull to refresh picks up new data,Functional,transaction created via API,New row appears,Row appeared after pull-to-refresh,[Verified],Pass,
TC-008,Insights,Trend chart renders with axis labels,Regression,6 months,Full chart with Mar-Aug labels,Chart and labels fully visible,[Verified],Pass,
TC-009,Insights,dp audit,UI,n/a,No violations,CLEAN,[Verified],Pass,
TC-010,Loans,List and detail render,Functional,1 loan,Loan list and detail load,Both loaded; dp audit clean,[Verified],Pass,
TC-011,Cards,List and detail render,Functional,2 cards,Card list and detail load,Both loaded; dp audit clean,[Verified],Pass,
TC-012,Sheets,Currency picker renders as a modal sheet,UI,Settings -> Currency,Opaque panel with radius padding and a dimmed backdrop,Transparent unpadded panel with no backdrop; Settings legible through it,[Verified],Fail,SP-100
TC-013,Sheets,Accessibility tree while a transparentModal sheet is open,Accessibility,Add Transaction via FAB,Content behind is not reachable,Underlying screen buttons present with content-desc,[Verified],Fail,SP-104
