Bug ID,Title,Module,Type,Severity,Priority,Reproducibility,Linked TC ID,Evidence Tag,Status,Fix Summary,Verification
SP-100,Every sheet and overlay renders transparent unpadded and with no backdrop,All sheets/overlays,UI,Critical,P1,Always (4/4),TC-012,[Verified],Fixed,Removed cssInterop registrations for Animated.View/ScrollView/Text/Image in lib/_core/nativewind-pressable.ts — the interop rebuilt the target prop and dropped plain inline style objects beside the useAnimatedStyle entry,Currency and Add-account sheets render opaque/padded/dimmed; full 19-route sweep re-run post-fix with identical results (no regression to ~25 className Animated.View call sites)
SP-101,Keyboard covers the sheet body including Save and the sheet never moves,All sheets with inputs,UX,High,P1,Always (2/2),TC-014,[Verified],Fixed,Sheet.tsx consumes the IME inset itself (max of useAnimatedKeyboard and JS Keyboard events) and caps maxHeight to the space above the keyboard; removed the inert KeyboardAvoidingView,"Add account panel top 829->239px, Save 1441-1530->851-940px; Add Transaction panel top 539->104px, Save 1479-1575->910-1006px; Save tapped with keyboard up and account created"
SP-102,Financial data stays in the accessibility tree behind the App Lock screen,App Lock,Security,High,P1,Always (4/4),TC-031,[Verified],Fixed,"app-lock-gate.tsx applies display:none to the covered subtree while locked — importantForAccessibility=no-hide-descendants does not reach react-native-screens routes and accessibilityViewIsModal is iOS-only",Locked dump 146 nodes/16 sensitive -> 53 nodes/0 sensitive with zero POP_TO_TOP errors; unlock restores the Dashboard
SP-103,No brute-force protection on the App Lock PIN,App Lock,Security,Medium,P2,Always,TC-033,[Verified],Open,Not fixed — local/remote verification split is a security-design decision,12 wrong PINs accepted in 14s with no lockout/delay/counter; server MAX_PIN_ATTEMPTS and PIN_LOCKOUT_MS exist but the gate never calls security.verifyPin
SP-104,Screen behind a transparentModal sheet route stays in the accessibility tree,add-transaction/budget-form/record-repayment,Accessibility,Medium,P3,Always,TC-013,[Verified],Open,Not fixed — recommend the SP-102 display:none technique and retesting the plain Modal path now SP-100 is fixed,Underlying screen buttons remain in the dump with content-desc while the sheet is open
SP-105,Hero gradient and glass blur silently degrade on a real phone,Theme system,UX/Design,Medium,P2,Always,TC-040,[Verified],Open,Not fixed — threshold calibration is a product decision,"theme-lab reports Active tier: low; device is 720x1608=1157760px vs LOW_TIER_MAX_PIXELS=1200000; cold start with the threshold lowered restores the full gradient and frosted glass"
SP-106,Balance hero wraps mid-number at 200% font,Dashboard,Accessibility,Medium,P3,Always,TC-036,[Verified],Open,Not fixed — recommend adjustsFontSizeToFit or a hero-specific cap below MAX_FONT_SCALE=2,"Cold-start capture at 200% shows Rs 0.0 / 0 across two lines; rest of the Dashboard degrades gracefully with ellipsis"
SP-107,Haptics never fire on Android and no success/error haptics exist,App-wide,UX,Medium,P3,Always,TC-038,[Verified],Open,Not fixed — the iOS guard may be intentional and needs a product call,"No expo-haptics vibrator events after tapping tabs and buttons with system haptics enabled; both call sites gate on process.env.EXPO_OS === ios; zero Haptics.notificationAsync references in the codebase"
SP-108,No TextInput in the app meets the 44dp minimum,App-wide forms,Accessibility,Low,P3,Always,TC-020,[Verified],Open,Not fixed — recommend a shared Input primitive with minHeight 44,"Every field measures 41.6-42.7dp; no shared Input primitive, fields styled inline with py-md/py-3/py-3.5"
SP-109,Colour swatch buttons are 42.1x42.1dp,Category and card forms,Accessibility,Low,P3,Always,TC-021,[Verified],Open,Not fixed,Measured 42.1x42.1dp on all 10 swatches in add/edit category and add/edit card
SP-110,The All filter chip is 42.7dp wide,Activity,Accessibility,Low,P4,Always,TC-005,[Verified],Open,Not fixed,Measured 42.7x43.7dp; height is 44 within device rounding but width is not
SP-111,The App Lock switch is 46.9x27.2dp,Security,Accessibility,Low,P4,Always,TC-030,[Verified],Open,Not fixed,Measured 46.9x27.2dp
SP-112,Transaction detail account radio row is 41.1dp tall,Transaction detail,Accessibility,Low,P4,Always,TC-018,[Verified],Open,Not fixed,Measured 306.1x41.1dp
SP-113,theme-lab tier-override buttons are 33.6dp tall,dev/theme-lab,Accessibility,Low,P4,Always,TC-057,[Verified],Open,Not fixed — dev-only screen,Measured 62.9-82.1 x 33.6dp
SP-114,The Toast overlay covers the screen header,App-wide,UI,Low,P3,Always,TC-025,[Verified],Open,Not fixed — global chrome placement is a design decision. A pointerEvents fix was written and reverted after the touch-blocking claim was disproved,"Toast [20,88]-[700,192] fully covers the back button at [30,102]-[113,185]; title hidden for 3.5s. Touch-blocking claim withdrawn (W5)"
SP-115,Two different destructive-confirm UIs ship side by side,Destructive confirms,UI consistency,Low,P3,Always,TC-027,[Verified],Open,Not fixed — pick one confirm UI,"Categories/Accounts/clear-all use the themed ConfirmSheet; transaction/loan/budget/App Lock use Alert.alert where style:destructive is iOS-only so CANCEL and DELETE look identical on Android"
SP-116,Deep-link and navigator configuration warning,Navigation,Functional,Low,P3,Always,TC-042,[Verified],Open,Not fixed,"Looks like you have configured linking in multiple places logged on deep links; manusexpensetrackerapp://security landed on Dashboard repeatedly and had to be reached through the UI"
SP-117,Device-tier override does not re-render mounted glass/gradient surfaces,dev/theme-lab,Dev tooling,Low,P4,Always,TC-041,[Verified],Open,Not fixed — dev-only,"Forcing tier high (confirmed by the panel readout) left the Dashboard hero on the solid fallback; useGlassCapability discards the useSyncExternalStore return value so degrade is memoised on [reducedMotion] alone"
SP-118,SafeAreaView deprecation warning at rest,Dependencies,Maintenance,Low,P4,Always,TC-043,[Verified],Open,Not fixed — third-party,No application file imports the deprecated component; surfaces a LogBox toast over the tab bar on every dev build
